--------- beginning of main
I/AwesomePlayer(  301): Could not offload audio decode, try pcm offload
V/AudioPolicyManager(  301): isOffloadSupported: SR=44100, CM=0x1, Format=0x1c000001, StreamType=-1, BitRate=4294967295, duration=1501292 us, has_video=0
V/AudioPolicyManager(  301): isOffloadSupported: stream_type != MUSIC, returning false
I/OMXCodec(  301): [OMX.google.vorbis.decoder] OMXCodec::start mState=1
I/OMXCodec(  301): [OMX.google.vorbis.decoder] allocating 4 buffers of size 8192 on input port
V/OMXCodec(  301): [OMX.google.vorbis.decoder] allocated buffer 0xab1c71f0 on input port
V/OMXCodec(  301): [OMX.google.vorbis.decoder] allocated buffer 0xab1c7240 on input port
V/OMXCodec(  301): [OMX.google.vorbis.decoder] allocated buffer 0xab1c7290 on input port
V/OMXCodec(  301): [OMX.google.vorbis.decoder] allocated buffer 0xab1c72e0 on input port
I/OMXCodec(  301): [OMX.google.vorbis.decoder] allocating 4 buffers of size 32768 on output port
V/OMXCodec(  301): [OMX.google.vorbis.decoder] allocated buffer 0xab1c7330 on output port
V/OMXCodec(  301): [OMX.google.vorbis.decoder] allocated buffer 0xab1c73d0 on output port
V/OMXCodec(  301): [OMX.google.vorbis.decoder] allocated buffer 0xab1c7420 on output port
V/OMXCodec(  301): [OMX.google.vorbis.decoder] allocated buffer 0xab1c78d0 on output port
D/KeyguardSecurityView( 1206): showSecurityScreen( needTodisableClock = true)
D/KeyguardEffectViewUtil( 1206): wallpaperType :1
D/StatusBar-Window( 1206): fnf=false sanc=true, kni=false, sbf=true
D/CoverUI ( 1206): applyFocusableFlag() : Remove SAMSUNG_FLAG_SVIEW_COVER
V/OMXCodec(  301): [OMX.google.vorbis.decoder] onStateChange 2
I/OMXCodec(  301): [OMX.google.vorbis.decoder] Now Idle. Component sends idle done Event 
V/OMXCodec(  301): [OMX.google.vorbis.decoder] onStateChange 3
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Now Executing.
D/KeyguardViewMediator( 1206): updateKeyguardClockandNotifications( show = true)
D/PhoneStatusBar( 1206): updateKeyguardClockandNotifications( show = true)
V/AwesomePlayer(  301): finishAsyncPrepare_l
V/AwesomePlayer(  301): notifyListner_l() msg (200-MEDIA_INFO), ext1 (973), ext2 (0)
V/AudioCache(  301): notify(0xab1c7470, 200, 973, 0)
V/AudioCache(  301): ignored
V/AwesomePlayer(  301): notifyListner_l() msg (5-MEDIA_SET_VIDEO_SIZE), ext1 (0), ext2 (0)
V/AudioCache(  301): notify(0xab1c7470, 5, 0, 0)
V/AudioCache(  301): ignored
V/AwesomePlayer(  301): notifyListner_l() msg (1-MEDIA_PREPARED), ext1 (0), ext2 (0)
V/AudioCache(  301): notify(0xab1c7470, 1, 0, 0)
V/AudioCache(  301): prepared
V/AudioCache(  301): wait - success
V/MediaPlayerService(  301): start
V/StagefrightPlayer(  301): start
V/KeyguardUpdateMonitor( 1206): *** register callback for com.android.keyguard.sec.SecKeyguardBottomAreaView$2@366e79d2
V/KeyguardUpdateMonitor( 1206): *** unregister callback for null
V/AwesomePlayer(  301): play
V/AwesomePlayer(  301): AwesomePlayer::play_l():: This is not a DRM content
V/AwesomePlayer(  301): startAudioPlayer_l, sendErrorNotification (0)
D/AudioPlayer(  301): start of Playback, useOffload 0
V/OMXCodec(  301): [OMX.google.vorbis.decoder] calling emptyBuffer with codec specific data
V/OMXCodec(  301): [OMX.google.vorbis.decoder] calling emptyBuffer with codec specific data
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c7290 (length 62), timestamp 0 us (0.00 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c72e0 (length 244), timestamp 13061 us (0.01 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c7330
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c73d0
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c7420
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c78d0
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768112)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c71f0 (length 202), timestamp 36281 us (0.04 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] OMX_EventPortSettingsChanged(port=1, data2=0x00000000)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] PORT_SETTINGS_CHANGED(1)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] sending OMX_CommandPortDisable(1)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768192)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c7240 (length 238), timestamp 59501 us (0.06 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768432, size: 0, flags: 0x00000000, timestamp: 0 us (0.00 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Port is disabled, freeing buffer 2870768432
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768592, size: 0, flags: 0x00000000, timestamp: 0 us (0.00 secs))
